"","Date","Station","Outflow","Inflow","Total","X","daily.data.summary","daily.data.icon","daily.data.precipIntensity","daily.data.precipProbability","daily.data.precipType","daily.data.temperatureHigh","daily.data.temperatureLow","daily.data.apparentTemperatureHigh","daily.data.apparentTemperatureLow","daily.data.humidity","daily.data.windSpeed","Wday","Wday_bin","Hday_bin","Month","Month_x","Month_y","Season","Precip_bin"
"57171","2011-10-22","31600",57,60,117,398,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,58.31,39.57,58.31,39.57,0.71,0.34,"Saturday",1,0,10,-0.866025403784439,0.5,"Fall",0
"48175","2011-08-20","31305",39,33,72,335,"Partly cloudy in the evening.","partly-cloudy-day",0,0,NA,87.32,73.77,89.37,74.96,0.73,0.3,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"19950","2011-02-05","31220",4,4,8,139,"Light rain until afternoon.","rain",0.0042,0.95,"rain",40.73,36.46,37.77,34.22,0.88,0.72,"Saturday",1,0,2,0.866025403784439,0.5,"Winter",1
"30106","2011-04-17","31602",51,41,92,210,"Partly cloudy starting in the evening.","partly-cloudy-night",2e-04,0.64,"rain",67.79,49,67.79,49,0.49,4.15,"Sunday",1,0,4,0.866025403784439,-0.5,"Spring",1
"35283","2011-05-23","31600",67,68,135,246,"Mostly cloudy until evening.","partly-cloudy-day",0.0018,0.9,"rain",83.44,70.48,86.53,71.31,0.78,1.54,"Monday",1,0,5,0.5,-0.866025403784439,"Spring",1
"47457","2011-08-15","31609",32,40,72,330,"Mostly cloudy throughout the day.","partly-cloudy-day",0.0038,0.78,"rain",80.43,68.13,82.81,68.56,0.8,1.16,"Monday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"11431","2010-12-08","31608",5,4,9,80,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,33.78,21.57,28.84,21.57,0.47,4.61,"Wednesday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"42723","2011-07-13","31622",39,42,81,297,"Heavy rain starting in the afternoon, continuing until evening.","rain",0.0184,1,"rain",89.98,64.35,93.92,64.35,0.72,0.61,"Wednesday",1,0,7,-0.5,-0.866025403784439,"Summer",1
"7789","2010-11-13","31103",38,32,70,55,"Partly cloudy in the evening.","partly-cloudy-night",0,0,NA,64.6,35.5,64.6,35.5,0.53,0.32,"Saturday",1,0,11,-0.5,0.866025403784438,"Fall",0
"62080","2011-11-25","31205",37,35,72,432,"Clear throughout the day.","clear-day",0,0,NA,67.75,37.25,67.75,37.25,0.58,0.25,"Friday",1,0,11,-0.5,0.866025403784438,"Fall",0
"38972","2011-06-17","31224",62,62,124,271,"Foggy in the morning.","fog",0.009,0.92,"rain",83.64,67.8,84.49,68.59,0.78,0.67,"Friday",1,0,6,1.22464679914735e-16,-1,"Summer",1
"34799","2011-05-19","31236",35,30,65,242,"Mostly cloudy throughout the day.","partly-cloudy-day",0.0014,0.65,"rain",70.45,54.85,70.45,54.85,0.82,0.34,"Thursday",1,0,5,0.5,-0.866025403784439,"Spring",1
"38522","2011-06-14","31620",72,78,150,268,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,72.78,56.15,72.78,56.15,0.59,1.78,"Tuesday",1,0,6,1.22464679914735e-16,-1,"Spring",0
"746","2010-09-25","31003",8,7,15,6,"Partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,90.15,65.23,90.15,65.23,0.5,1.08,"Saturday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"52770","2011-09-21","31218",76,72,148,367,"Foggy in the morning.","fog",6e-04,0.8,"rain",75.18,70.18,76.01,71.32,0.89,0.41,"Wednesday",1,0,9,-1,-1.83697019872103e-16,"Fall",1
"66977","2011-12-29","31201",64,71,135,466,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,41.4,32.29,41.4,32.29,0.65,0.35,"Thursday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"6601","2010-11-04","31017",0,0,0,46,"Rain until evening.","rain",0.0434,1,"rain",49.74,44.72,49.65,43.18,0.93,2.18,"Thursday",1,0,11,-0.5,0.866025403784438,"Fall",1
"52673","2011-09-20","31231",39,38,77,366,"Light rain until afternoon.","rain",0.0052,0.99,"rain",70.93,64.44,71.57,64.97,0.87,0.54,"Tuesday",1,0,9,-1,-1.83697019872103e-16,"Fall",1
"43670","2011-07-20","31010",13,18,31,304,"Humid throughout the day and partly cloudy in the morning.","partly-cloudy-day",0,0,NA,93.22,77.99,104.09,79.74,0.74,0.4,"Wednesday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"31322","2011-04-25","31620",76,69,145,218,"Foggy in the morning.","fog",8e-04,0.66,"rain",87.11,68.3,87.11,68.58,0.69,1.44,"Monday",1,0,4,0.866025403784439,-0.5,"Spring",1
"9033","2010-11-21","31304",9,5,14,63,"Mostly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,55.83,48.44,55.83,48.44,0.69,0.81,"Sunday",1,0,11,-0.5,0.866025403784438,"Fall",0
"30686","2011-04-21","31206",33,31,64,214,"Clear throughout the day.","clear-day",0,0,NA,63.58,46.2,63.58,44.97,0.4,4.13,"Thursday",1,0,4,0.866025403784439,-0.5,"Spring",0
"40725","2011-06-29","31621",21,18,39,283,"Partly cloudy in the evening.","partly-cloudy-day",0,0,NA,86.9,63.83,86.9,63.83,0.57,2.34,"Wednesday",1,0,6,1.22464679914735e-16,-1,"Summer",0
"52148","2011-09-17","31200",198,212,410,363,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,62.89,52.77,62.89,52.77,0.79,0.68,"Saturday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"47836","2011-08-18","31108",37,37,74,333,"Partly cloudy throughout the day.","partly-cloudy-day",0.0024,0.51,"rain",88.93,68.11,91.26,68.99,0.7,1.07,"Thursday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"47660","2011-08-16","31307",0,0,0,331,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,84.26,65.78,85.11,66.25,0.68,1.93,"Tuesday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"18759","2011-01-28","31007",15,12,27,131,"Light snow in the afternoon.","snow",0.0023,0.68,"snow",35.31,25.94,35.31,25.94,0.85,0.28,"Friday",1,0,1,0.5,0.866025403784439,"Winter",1
"52250","2011-09-17","31019",0,0,0,363,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,62.89,52.77,62.89,52.77,0.79,0.68,"Saturday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"57803","2011-10-26","31402",8,5,13,402,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",0.0016,0.7,"rain",63.85,56.65,63.85,56.65,0.74,1.36,"Wednesday",1,0,10,-0.866025403784439,0.5,"Fall",1
"9250","2010-11-23","31207",9,7,16,65,"Partly cloudy until evening.","partly-cloudy-day",1e-04,0.43,"rain",66.95,40.68,66.95,37.61,0.65,2.18,"Tuesday",1,0,11,-0.5,0.866025403784438,"Fall",1
"44014","2011-07-22","31804",1,0,1,306,"Humid throughout the day and partly cloudy until evening.","partly-cloudy-day",0,0,NA,101.98,80.17,116.63,83.7,0.63,0.5,"Friday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"39871","2011-06-23","31021",0,0,0,277,"Humid and partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,83.96,72.19,89.43,73.3,0.74,1.62,"Thursday",1,0,6,1.22464679914735e-16,-1,"Summer",0
"47326","2011-08-14","31804",0,0,0,329,"Rain in the morning and overnight.","rain",0.0129,0.91,"rain",82.65,67.11,87.19,67.86,0.84,0.64,"Sunday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"25448","2011-03-15","31705",0,0,0,177,"Heavy rain overnight.","rain",0.0026,1,"rain",50.83,42.3,50.83,42.3,0.64,2.09,"Tuesday",1,0,3,1,6.12323399573677e-17,"Spring",1
"4474","2010-10-21","31602",33,22,55,32,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,66.29,45.28,66.29,45.28,0.66,2.05,"Thursday",1,0,10,-0.866025403784439,0.5,"Fall",0
"66183","2011-12-23","31303",12,9,21,460,"Mostly cloudy throughout the day.","partly-cloudy-day",0.015,1,"rain",50.69,39.76,50.69,37.92,0.74,2.77,"Friday",1,0,12,-2.44929359829471e-16,1,"Winter",1
"21076","2011-02-13","31601",3,2,5,147,"Mostly cloudy until afternoon.","partly-cloudy-day",0,0,NA,53.76,47.11,53.76,45,0.45,2.74,"Sunday",1,0,2,0.866025403784439,0.5,"Winter",0
"22016","2011-02-19","31242",0,0,0,153,"Clear throughout the day.","clear-day",0,0,NA,54.22,31.3,54.22,27.65,0.22,9.63,"Saturday",1,0,2,0.866025403784439,0.5,"Winter",0
"7408","2010-11-10","31217",20,31,51,52,"Clear throughout the day.","clear-day",0,0,NA,62.47,40.88,62.47,40.88,0.68,2.04,"Wednesday",1,0,11,-0.5,0.866025403784438,"Fall",0
"13927","2010-12-25","31618",1,2,3,97,"Overcast throughout the day.","cloudy",0,0,NA,33.97,29.6,33.97,24.44,0.66,1.13,"Saturday",1,1,12,-2.44929359829471e-16,1,"Winter",0
"45566","2011-08-02","31301",16,12,28,317,"Partly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,94.08,76.6,94.08,77.39,0.59,1.35,"Tuesday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"54039","2011-09-30","31007",30,30,60,376,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,74.54,52.76,74.54,52.76,0.72,0.53,"Friday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"48533","2011-08-23","31109",57,59,116,338,"Clear throughout the day.","clear-day",0,0,NA,80.93,59.79,80.93,59.79,0.55,0.05,"Tuesday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"64743","2011-12-13","31303",15,7,22,450,"Mostly cloudy overnight.","partly-cloudy-night",0,0,NA,49.88,35.39,48.95,35.39,0.66,1.03,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"13472","2010-12-22","31700",1,1,2,94,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,42.06,31.47,39.43,24.79,0.53,3.02,"Wednesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"57157","2011-10-21","31506",0,0,0,397,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,59.17,44.34,59.17,44.34,0.65,1.49,"Friday",1,0,10,-0.866025403784439,0.5,"Fall",0
"16490","2011-01-12","31620",19,19,38,115,"Mostly cloudy throughout the day.","partly-cloudy-day",4e-04,0.31,"snow",33.15,25.46,26.62,19.71,0.66,4.79,"Wednesday",1,0,1,0.5,0.866025403784439,"Winter",1
"31077","2011-04-23","31621",0,0,0,216,"Overcast until afternoon.","cloudy",0.0035,0.95,"rain",73.17,59.2,73.17,59.2,0.83,2.13,"Saturday",1,0,4,0.866025403784439,-0.5,"Spring",1
"48768","2011-08-24","31619",61,79,140,339,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,84.78,74.12,85.55,74.97,0.67,1.8,"Wednesday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"9567","2010-11-25","31704",0,0,0,67,"Overcast throughout the day.","cloudy",0.0012,0.78,"rain",50.73,51.05,50.73,51.05,0.69,1.41,"Thursday",1,1,11,-0.5,0.866025403784438,"Fall",1
"29527","2011-04-13","31703",0,0,0,206,"Light rain in the morning.","rain",0.0082,0.99,"rain",56.8,44.11,56.8,44.11,0.83,1.87,"Wednesday",1,0,4,0.866025403784439,-0.5,"Spring",1
"15655","2011-01-06","31618",14,14,28,109,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,38.97,30.44,38.97,27.52,0.56,0.33,"Thursday",1,0,1,0.5,0.866025403784439,"Winter",0
"20611","2011-02-10","31106",30,31,61,144,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,32.65,16.49,31.83,16.49,0.47,2.95,"Thursday",1,0,2,0.866025403784439,0.5,"Winter",0
"21492","2011-02-16","31400",26,20,46,150,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,57.93,42.88,57.93,42.88,0.43,2.61,"Wednesday",1,0,2,0.866025403784439,0.5,"Winter",0
"45068","2011-07-29","31307",0,0,0,313,"Humid throughout the day and partly cloudy in the morning.","partly-cloudy-night",0,0,NA,99.75,78.21,104.68,79.38,0.61,1.4,"Friday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"54823","2011-10-05","31618",50,49,99,381,"Clear throughout the day.","clear-day",0,0,NA,73.63,48.53,73.63,48.53,0.72,1.41,"Wednesday",1,0,10,-0.866025403784439,0.5,"Fall",0
"59362","2011-11-06","31207",9,7,16,413,"Mostly cloudy in the morning.","partly-cloudy-day",0,0,NA,58.02,37.3,58.02,37.3,0.76,0.51,"Sunday",1,0,11,-0.5,0.866025403784438,"Fall",0
"28867","2011-04-08","31613",27,32,59,201,"Rain starting in the afternoon, continuing until evening.","rain",0.0137,1,"rain",50.39,42.73,50.39,41.24,0.83,2.16,"Friday",1,0,4,0.866025403784439,-0.5,"Spring",1
"12668","2010-12-16","31307",0,0,0,88,"Light snow (< 1 in.) in the afternoon.","snow",0.0014,0.32,"snow",25.27,19.82,25.27,19.82,0.73,0.2,"Thursday",1,0,12,-2.44929359829471e-16,1,"Winter",1
"30158","2011-04-17","31301",13,6,19,210,"Partly cloudy starting in the evening.","partly-cloudy-night",2e-04,0.64,"rain",67.79,49,67.79,49,0.49,4.15,"Sunday",1,0,4,0.866025403784439,-0.5,"Spring",1
"59472","2011-11-06","31806",0,0,0,413,"Mostly cloudy in the morning.","partly-cloudy-day",0,0,NA,58.02,37.3,58.02,37.3,0.76,0.51,"Sunday",1,0,11,-0.5,0.866025403784438,"Fall",0
"60600","2011-11-14","31261",0,0,0,421,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,73.56,62.69,73.56,62.69,0.6,3.83,"Monday",1,0,11,-0.5,0.866025403784438,"Fall",0
"27831","2011-04-01","31007",19,18,37,194,"Mostly cloudy throughout the day.","partly-cloudy-day",0.0041,1,"rain",47.85,35.37,44.99,35.37,0.72,3.7,"Friday",1,0,4,0.866025403784439,-0.5,"Spring",1
"46103","2011-08-06","31000",4,3,7,321,"Rain in the evening.","rain",0.0059,0.78,"rain",87.69,76.26,94.52,77.93,0.78,1.5,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"35919","2011-05-27","31704",0,0,0,250,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0.0015,0.89,"rain",84.43,65.18,86.66,65.58,0.67,1.71,"Friday",1,0,5,0.5,-0.866025403784439,"Spring",1
"62424","2011-11-27","31228",53,59,112,434,"Partly cloudy throughout the day.","partly-cloudy-night",0,0,NA,70.62,52.41,70.62,52.41,0.7,1.62,"Sunday",1,0,11,-0.5,0.866025403784438,"Fall",0
"32786","2011-05-05","31624",77,69,146,228,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,68.02,43.27,68.02,43.27,0.48,3.17,"Thursday",1,0,5,0.5,-0.866025403784439,"Spring",0
"54468","2011-10-03","31400",27,15,42,379,"Mostly cloudy throughout the day.","partly-cloudy-day",6e-04,0.55,"rain",51.76,47.87,51.76,47.87,0.85,0.35,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",1
"27548","2011-03-30","31502",1,1,2,192,"Light rain starting in the evening.","rain",0.0048,1,"rain",47.08,37.23,47.05,37.23,0.61,1.3,"Wednesday",1,0,3,1,6.12323399573677e-17,"Spring",1
"60473","2011-11-13","31614",0,0,0,420,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,63.8,55.62,63.8,55.62,0.48,2.99,"Sunday",1,0,11,-0.5,0.866025403784438,"Fall",0
"10987","2010-12-05","31008",1,0,1,77,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,37.95,30.14,31.6,24.46,0.5,6.65,"Sunday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"41460","2011-07-04","31244",0,0,0,288,"Partly cloudy starting in the afternoon.","partly-cloudy-night",0,0,NA,87.44,70.61,89.62,71.41,0.72,0.3,"Monday",1,1,7,-0.5,-0.866025403784439,"Summer",0
"6493","2010-11-04","31103",12,9,21,46,"Rain until evening.","rain",0.0434,1,"rain",49.74,44.72,49.65,43.18,0.93,2.18,"Thursday",1,0,11,-0.5,0.866025403784438,"Fall",1
"15495","2011-01-05","31303",8,4,12,108,"Partly cloudy in the evening.","partly-cloudy-night",0,0,NA,39.93,24.89,39.42,24.89,0.46,1.99,"Wednesday",1,0,1,0.5,0.866025403784439,"Winter",0
"54543","2011-10-03","31018",7,5,12,379,"Mostly cloudy throughout the day.","partly-cloudy-day",6e-04,0.55,"rain",51.76,47.87,51.76,47.87,0.85,0.35,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",1
"27526","2011-03-30","31011",4,7,11,192,"Light rain starting in the evening.","rain",0.0048,1,"rain",47.08,37.23,47.05,37.23,0.61,1.3,"Wednesday",1,0,3,1,6.12323399573677e-17,"Spring",1
"33047","2011-05-07","31221",57,62,119,230,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,71.66,51.85,71.66,51.85,0.59,1.17,"Saturday",1,0,5,0.5,-0.866025403784439,"Spring",0
"2563","2010-10-07","31232",0,0,0,18,"Partly cloudy in the morning.","partly-cloudy-day",1e-04,0.21,"rain",74.02,49.57,74.02,49.57,0.65,2.55,"Thursday",1,0,10,-0.866025403784439,0.5,"Fall",1
"32461","2011-05-03","31216",44,45,89,226,"Light rain overnight.","rain",0,0,NA,81.68,47.5,82.57,46.07,0.67,2.34,"Tuesday",1,0,5,0.5,-0.866025403784439,"Spring",0
"12334","2010-12-14","31804",0,0,0,86,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,25.27,20.11,15.39,11.43,0.48,8.3,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"41499","2011-07-05","31802",1,0,1,289,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,90.21,72.63,92.55,73.72,0.66,0.33,"Tuesday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"13385","2010-12-21","31614",0,0,0,93,"Partly cloudy starting in the afternoon.","partly-cloudy-night",0,0,NA,37.94,32.47,35.87,32.47,0.57,4.29,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"35622","2011-05-25","31214",89,95,184,248,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",3e-04,0.28,"rain",85,69.53,86.58,70.39,0.68,0.37,"Wednesday",1,0,5,0.5,-0.866025403784439,"Spring",1
"11774","2010-12-10","31016",0,0,0,82,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,36.89,26.59,36.89,26.59,0.63,1.07,"Friday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"3341","2010-10-13","31203",43,43,86,24,"Mostly cloudy overnight.","partly-cloudy-night",0,0,NA,67.7,50.47,67.7,50.47,0.6,0.91,"Wednesday",1,0,10,-0.866025403784439,0.5,"Fall",0
"63584","2011-12-05","31700",0,1,1,442,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,58.54,55.16,58.54,55.16,0.82,0.34,"Monday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"4702","2010-10-22","31804",0,0,0,33,"Partly cloudy until afternoon.","partly-cloudy-day",0,0,NA,57.56,40.39,57.56,40.39,0.53,2.7,"Friday",1,0,10,-0.866025403784439,0.5,"Fall",0
"39767","2011-06-23","31000",7,6,13,277,"Humid and partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,83.96,72.19,89.43,73.3,0.74,1.62,"Thursday",1,0,6,1.22464679914735e-16,-1,"Summer",0
"38175","2011-06-12","31002",8,8,16,266,"Partly cloudy until evening.","partly-cloudy-day",0.0032,0.59,"rain",87.87,62.61,91.63,62.61,0.76,0.4,"Sunday",1,0,6,1.22464679914735e-16,-1,"Spring",1
"20588","2011-02-09","31307",0,0,0,143,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,33.36,24.19,33.36,18.62,0.5,1.85,"Wednesday",1,0,2,0.866025403784439,0.5,"Winter",0
"65802","2011-12-20","31116",27,19,46,457,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,55.03,47.16,55.03,47.16,0.61,0.08,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"60502","2011-11-14","31011",15,21,36,421,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,73.56,62.69,73.56,62.69,0.6,3.83,"Monday",1,0,11,-0.5,0.866025403784438,"Fall",0
"11271","2010-12-07","31007",12,9,21,79,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,33.96,24.59,27.17,19.73,0.46,7.16,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"11518","2010-12-08","31708",0,0,0,80,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,33.78,21.57,28.84,21.57,0.47,4.61,"Wednesday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"14341","2010-12-28","31229",22,17,39,100,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,43.23,31.7,39.76,31.7,0.42,5.34,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"3446","2010-10-13","31404",0,0,0,24,"Mostly cloudy overnight.","partly-cloudy-night",0,0,NA,67.7,50.47,67.7,50.47,0.6,0.91,"Wednesday",1,0,10,-0.866025403784439,0.5,"Fall",0
"441","2010-09-23","31603",3,1,4,4,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,90.28,70.32,92.69,71.38,0.68,0.44,"Thursday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"52368","2011-09-18","31619",53,68,121,364,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,67.47,58.41,67.47,58.41,0.76,0.77,"Sunday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"37127","2011-06-04","31706",0,0,0,258,"Mostly cloudy starting in the afternoon.","partly-cloudy-day",0,0,NA,81.58,66.97,81.58,67,0.54,0.25,"Saturday",1,0,6,1.22464679914735e-16,-1,"Spring",0
"20289","2011-02-07","31245",0,0,0,141,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",0,0,NA,48.8,37.24,48.8,32.02,0.75,0.43,"Monday",1,0,2,0.866025403784439,0.5,"Winter",0
"17794","2011-01-21","31112",3,3,6,124,"Partly cloudy until afternoon.","partly-cloudy-day",2e-04,0.34,"snow",32.65,15.29,26.55,11.54,0.5,5.05,"Friday",1,0,1,0.5,0.866025403784439,"Winter",1
"63465","2011-12-04","31304",14,7,21,441,"Partly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,55.17,41.42,55.17,41.42,0.78,0.79,"Sunday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"24790","2011-03-11","31011",11,11,22,173,"Mostly cloudy throughout the day.","partly-cloudy-day",9e-04,0.59,"rain",48.57,36.7,46.97,36.7,0.65,3.28,"Friday",1,0,3,1,6.12323399573677e-17,"Winter",1
"15217","2011-01-03","31623",29,32,61,106,"Clear throughout the day.","clear-day",0,0,NA,38.14,23.93,36.72,23.93,0.45,3.43,"Monday",1,0,1,0.5,0.866025403784439,"Winter",0
"48705","2011-08-24","31401",21,18,39,339,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,84.78,74.12,85.55,74.97,0.67,1.8,"Wednesday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"44028","2011-07-22","31262",0,3,3,306,"Humid throughout the day and partly cloudy until evening.","partly-cloudy-day",0,0,NA,101.98,80.17,116.63,83.7,0.63,0.5,"Friday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"5847","2010-10-30","31303",6,4,10,41,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,59.31,44.23,59.31,44.23,0.59,2.22,"Saturday",1,0,10,-0.866025403784439,0.5,"Fall",0
"5106","2010-10-25","31218",29,32,61,36,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,74.89,63.24,75.21,63.39,0.77,3.33,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",0
"50430","2011-09-05","31204",26,41,67,351,"Heavy rain starting in the evening.","rain",0.0135,1,"rain",81.1,62.52,85.28,62.76,0.82,0.36,"Monday",1,1,9,-1,-1.83697019872103e-16,"Summer",1
"17638","2011-01-20","31501",4,3,7,123,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,42.04,31.71,42.04,25.69,0.58,0.51,"Thursday",1,0,1,0.5,0.866025403784439,"Winter",0
"12097","2010-12-13","31208",6,7,13,85,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,33.44,20.79,27.13,11.72,0.56,7.49,"Monday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"14870","2011-01-01","31010",4,7,11,104,"Mostly cloudy throughout the day.","partly-cloudy-night",0,0,NA,57.33,50.36,57.33,50.36,0.81,2.05,"Saturday",1,1,1,0.5,0.866025403784439,"Winter",0
"2068","2010-10-04","31601",0,0,0,15,"Light rain until afternoon.","rain",0.0181,1,"rain",54.15,48.37,54.15,48.37,0.88,3.2,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",1
"63418","2011-12-04","31702",0,0,0,441,"Partly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,55.17,41.42,55.17,41.42,0.78,0.79,"Sunday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"3056","2010-10-11","31110",17,23,40,22,"Partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,85.59,59.38,85.59,59.38,0.63,0.55,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",0
"57001","2011-10-20","31017",0,0,0,396,"Mostly cloudy throughout the day.","partly-cloudy-day",1e-04,0.33,"rain",58.89,46.13,58.89,46.13,0.69,3.96,"Thursday",1,0,10,-0.866025403784439,0.5,"Fall",1
"13018","2010-12-19","31702",0,0,0,91,"Mostly cloudy until afternoon.","partly-cloudy-day",0,0,NA,35,24.21,32.47,20.84,0.67,2.5,"Sunday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"48200","2011-08-20","31705",0,0,0,335,"Partly cloudy in the evening.","partly-cloudy-day",0,0,NA,87.32,73.77,89.37,74.96,0.73,0.3,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"10394","2010-12-01","31003",0,0,0,73,"Rain until afternoon.","rain",0.0257,1,"rain",63.12,30.03,63.45,30.03,0.73,1.72,"Wednesday",1,0,12,-2.44929359829471e-16,1,"Fall",1
"56578","2011-10-17","31625",0,0,0,393,"Mostly cloudy until afternoon.","partly-cloudy-day",0,0,NA,70.38,52.16,70.38,52.16,0.59,0.75,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",0
"29719","2011-04-14","31608",14,14,28,207,"Clear throughout the day.","clear-day",0,0,NA,70.62,47.27,70.62,47.27,0.54,1.19,"Thursday",1,0,4,0.866025403784439,-0.5,"Spring",0
"17085","2011-01-16","31225",10,26,36,119,"Mostly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,38.58,29.13,36.97,29.13,0.52,2.48,"Sunday",1,0,1,0.5,0.866025403784439,"Winter",0
"62208","2011-11-25","31806",0,0,0,432,"Clear throughout the day.","clear-day",0,0,NA,67.75,37.25,67.75,37.25,0.58,0.25,"Friday",1,0,11,-0.5,0.866025403784438,"Fall",0
"25290","2011-03-14","31805",0,0,0,176,"Partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,51.64,34.87,51.64,34.87,0.54,1.45,"Monday",1,0,3,1,6.12323399573677e-17,"Winter",0
